0,0,0,0,0,0,0
0.036,0,0,0,0,0,0
0.051,0,0,0,0,0,0
0.066,0,0,0,0,0,0
0.081,0,0,0,0,0,0
0.096,0,0,0,0,0,0
0.111,0,0,0,0,0,0
0.126,0,0,0,0,0,0
0.141,0,0,0,0,0,0
0.156,0,0,0,0,0,0
0.171,0,0,0,0,0,0
0.186,0,0,0,0,0,0
0.201,0,0,0,0,0,0
0.216,0,0,0,0,0,0
0.231,0,0,0,0,0,0
0.246,0,0,0,0,0,0
0.261,0,0,0,0,0,0
0.276,0,0,0,0,0,0
0.291,0,0,0,0,0,0
0.306,0,0,0,0,0,0
0.321,0,0,0,0,0,0
0.336,0,0,0,0,0,0
0.351,0,0,0,0,0,0
0.366,0,0,0,0,0,0
0.381,0,0,0,0,0,0
0.396,0,0,0,0,0,0
0.411,0,0,0,0,0,0
0.426,0,0,0,0,0,0
0.441,0,0,0,0,0,0
0.456,0,0,0,0,0,0
0.471,0,0,0,0,0,0
0.486,0,0,0,0,0,0
0.501,0,0,0,0,0,0
0.516,0,0,0,0,0,0
0.531,0,0,0,0,0,0
0.546,0,0,0,0,0,0
0.561,0,0,0,0,0,0
0.576,0,0,0,0,0,0
0.591,0,0,0,0,0,0
0.606,0,0,0,0,0,0
0.621,0,0,0,0,0,0
0.636,0,0,0,0,0,0
0.651,0,0,0,0,0,0
0.666,0,0,0,0,0,0
0.681,0,0,0,0,0,0
0.696,0,0,0,0,0,0
0.711,0,0,0,0,0,0
0.726,0,0,0,0,0,0
0.741,0,0,0,0,0,0
0.756,0,0,0,0,0,0
0.771,0,0,0,0,0,0
0.786,0,0,0,0,0,0
0.801,0,0,0,0,0,0
0.816,0,0,0,0,0,0
0.831,0,0,0,0,0,0
0.846,0,0,0,0,0,0
0.861,0,0,0,0,0,0
0.876,0,0,0,0,0,0
0.891,0,0,0,0,0,0
0.906,0,0,0,0,0,0
0.921,0,0,0,0,0,0
0.936,0,0,0,0,0,0
0.951,0,0,0,0,0,0
0.966,0,0,0,0,0,0
0.981,0,0,0,0,0,0
0.996,0,0,0,0,0,0
1.011,0,0,0,0,0,0
1.026,0,0,0,0,0,0
1.041,0,0,0,0,0,0
1.056,0,0,0,0,0,0
1.071,0,0,0,0,0,0
1.086,0,0,0,0,0,0
1.101,0,0,0,0,0,0
1.116,0,0,0,0,0,0
1.131,0,0,0,0,0,0
1.146,0,0,0,0,0,0
1.161,0,0,0,0,0,0
